 
---------------------------------------------------
RESULTS OF ADMIXTURE ANALYSIS BASED
ON MIXTURE CLUSTERING OF INDIVIDUALS
Data file: virosu_m3n3_23484_47_pop_from_grad_mixtured.mat
Number of individuals: 47
Results based on 50 simulations from posterior allele frequencies.
 
         1     2   p
1:    1.00  0.00:  1
2:    1.00  0.00:  1
3:    1.00  0.00:  1
4:    1.00  0.00:  1
5:    1.00  0.00:  1
6:    1.00  0.00:  1
7:    1.00  0.00:  1
8:    1.00  0.00:  1
9:    1.00  0.00:  1
10:   1.00  0.00:  1
11:   1.00  0.00:  1
12:   1.00  0.00:  1
13:   1.00  0.00:  1
14:   1.00  0.00:  1
15:   0.85  0.15:  0
16:   1.00  0.00:  1
17:   0.61  0.39:  0
18:   1.00  0.00:  1
19:   0.81  0.19:  0
20:   0.74  0.26:  0
21:   0.00  1.00:  1
22:   0.00  1.00:  1
23:   0.00  1.00:  1
24:   0.00  1.00:  1
25:   0.12  0.88:  0
26:   0.16  0.84:  0
27:   0.00  1.00:  1
28:   0.00  1.00:  1
29:   0.00  1.00:  1
30:   0.00  1.00:  1
31:   0.00  1.00:  1
32:   0.00  1.00:  1
33:   0.00  1.00:  1
34:   0.16  0.84:  0
35:   0.00  1.00:  1
36:   0.00  1.00:  1
37:   0.00  1.00:  1
38:   0.00  1.00:  1
39:   0.00  1.00:  1
40:   0.14  0.86:  0
41:   0.23  0.77:  0
42:   0.22  0.78:  0
43:   0.15  0.85:  0
44:   0.00  1.00:  1
45:   0.27  0.73:  0
46:   0.00  1.00:  1
47:   0.42  0.58:  0
