lab1	lab2	mixed
c	sd	qwe
c	sd	qwe
c	sd	qwe
c	sd	qwe
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	sd	erd
c	as	erd
c	as	erd
c	as	erd
c	as	erd
c	as	erd
c	as	erd
c	as	rga
c	as	rga
c	as	rga
c	as	rga
c	as	rga
c	as	rga
c	as	rga
a	as	erd
a	as	asf
a	as	asf
a	as	asf
a	as	asf
a	as	asf
a	as	asf
a	as	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	asf
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	fg	qwe
a	er	qwe
a	er	qwe
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	fds
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	asf
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
a	er	erd
b	er	erd
b	er	erd
b	er	fds
b	er	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	kj	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
b	pp	fds
