type	cat	loc
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Temperate	CatA	Greece
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Brazil
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Brazil
Tropical	CatA	Brazil
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatA	Panama
Tropical	CatA	Panama
Tropical	CatA	Panama
Temperate	CatA	Greece
Temperate	CatA	Greece
Tropical	CatA	Panama
Temperate	CatA	Greece
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
Tropical	CatB	Brazil
